Constraint,CapRes_1,CapRes_2,CapRes_3
t279,0.752388599607442,1.245635304581388,0.0
t280,13.636480952559342,12.100576452182494,0.0
t281,365.0772917589548,365.0721148319492,-0.0
t282,587.2441103234615,586.8464229700817,563.5459925024797
t283,587.3760312529625,586.8464229700816,563.5459925024797
t284,587.2441103234617,586.8464229700817,563.5459925024797
t285,587.2441103234615,586.8464229700817,563.5459925024797
t286,587.2441103234615,586.8464229700817,563.5459925024797
t287,586.8107679172289,586.8464229700817,563.5459925024797
t288,586.230085217115,586.2459524378975,563.5459925024797
