Constraint,CapRes_1,CapRes_2,CapRes_3
t503,25.760184744199947,25.04664157894736,-1.953446527343323e-15
t504,25.760184744199943,25.046641578947362,0.0
t505,0.8294207391453805,0.4024247318199767,0.0
t506,0.279651044496824,-0.0,0.0
t507,0.279651044496824,0.0,0.0
t508,0.279651044496824,0.0,0.0
t509,0.279651044496824,-0.0,0.0
t510,0.279651044496824,-0.0,0.0
t511,0.3533235259111141,-0.0,0.0
t512,11.773857903323876,2.456222694889328,0.0
t513,6.872917004939247,6.872917004939247,0.0
t514,4.530210639345593,4.530210639345593,0.0
t515,-0.0,-0.0,0.0
t516,0.0,-0.0,0.0
t517,-0.0,-0.0,0.0
t518,-0.0,-0.0,0.0
t519,5.102478603412473,4.530210639345593,0.0
t520,2.829112630427978,2.456222694889328,0.0
t521,2.829112630427978,2.2339217128706146,0.0
t522,2.829112630427978,2.233921712870612,0.0
t523,2.829112630427978,2.233921712870615,-0.0
t524,2.829112630427978,2.2339217128706146,0.0
t525,2.829112630427978,2.2339217128706146,0.0
t526,2.829112630427978,2.2339217128706146,0.0
t527,2.829112630427978,2.233921712870616,0.0
t528,2.829112630427978,2.233921712870615,0.0
t529,0.0,0.0,0.0
t530,0.0,0.0,0.0
t531,0.0,0.0,0.0
t532,0.0,0.0,0.0
t533,0.0,0.0,0.0
t534,0.0,0.0,0.0
t535,0.0,0.0,0.0
t536,-0.0,-0.0,0.0
t537,0.0,-0.0,0.0
t538,0.0,0.0,0.0
t539,0.0,-0.0,0.0
t540,0.0,0.0,0.0
t541,0.0,0.0,0.0
t542,0.0,-0.0,0.0
t543,0.0,-0.0,0.0
t544,0.0,-0.0,0.0
t545,18.88061375449064,25.195337810526308,0.0
t546,28.635231541694147,21.774328805096985,-0.0
t547,28.635231541694143,21.774328805096985,0.0
t548,28.635231541694143,21.774328805096978,-1.4594664396779654e-15
t549,22.394389167601922,21.774328805096975,7.257812875266579e-16
t550,22.394389167601922,21.774328805096975,0.0
t551,22.315071154745734,21.774328805096975,0.0
t552,22.173208360317208,19.381754975461053,0.0
t553,0.0,0.0,0.0
t554,0.0,0.0,0.0
t555,0.0,0.0,0.0
t556,0.0,0.0,0.0
t557,0.0,0.0,0.0
t558,0.0,0.0,0.0
t559,0.0,0.0,0.0
t560,-0.0,-0.0,0.0
t561,-0.0,-0.0,0.0
t562,0.0,-0.0,0.0
t563,0.0,-0.0,0.0
t564,0.0,-0.0,0.0
t565,0.0,-0.0,0.0
t566,0.0,0.0,0.0
t567,0.0,-0.0,0.0
t568,0.0,-0.0,0.0
t569,-0.0,-0.0,0.0
t570,0.3444433389712467,0.3444433389712467,0.0
t571,0.3444433389712467,0.3444433389712467,0.0
t572,0.3444433389712467,0.3444433389712466,0.0
t573,0.3444433389712466,0.3444433389712466,0.0
t574,0.3444433389712467,0.3444433389712467,0.0
t575,0.3444433389712467,0.3444433389712467,0.0
t576,0.3379813002223559,0.0,0.0
